,hindi_tweets
45,"RT @VigyanPrasar: देखिए कोविड-19 बुलेटिन 
 @IndiaScienceTV 
@drharshvardhan @MoHFW_INDIA
@MinScTechGoI @HRDMinistry @PrinSciAdvGoI
@IndiaDS…"
46,RT @AHindinews: केंद्रीय गृह मंत्री अमित शाह और दिल्ली के मुख्यमंत्री अरविंद केजरीवाल आज दिल्ली के छतरपुर क्षेत्र में राधा स्वामी ब्यास में…
47,केंद्रीय गृह मंत्री अमित शाह और दिल्ली के मुख्यमंत्री अरविंद केजरीवाल आज दिल्ली के छतरपुर क्षेत्र में राधा स्वामी ब्यास में #COVID केयर सेंटर का जायज़ा लेने जाएंगे। (फाइल तस्वीर) https://t.co/6ySqjhyiGt
48,"RT @VigyanPrasar: देखिए कोविड-19 बुलेटिन 
 @IndiaScienceTV
@drharshvardhan  @PMCares @MoHFW_INDIA
@PrinSciAdvGoI @IndiaDST
@Ashutos61 @CSIR…"
49,"RT @Amitjanhit: उत्तर प्रदेश,
गुजरात
मध्य प्रदेश जैसे बीजेपी शासित राज्यों में बीजेपी #corona से लड़ने में पूरी तरह विफल रही और अब 

@Arvin…"
50,"RT @PeepingMoon: तीन महीने बाद #KasautiiZindagiiKay2 की शूटिंग हुई री-स्टार्ट,  #Corona के साये के बीच #ParthSamthaan ने की सेट पर वापसी

@…"
51,"RT @CMOfficeUP: #COVID-19 जैसी वैश्विक महामारी के बावजूद समय पर परीक्षा व लॉकडाउन के बावजूद समय से परिणाम देने के लिए, मैं माध्यमिक शिक्षा…"
52,"RT @GhanendraB: CM @ArvindKejriwal जी ने कहा #COVID के खिलाफ युद्ध में दिल्ली सरकार के यह है 5 हथियार :
✅ अस्पतालों में बेड की संख्या बढ़ाई…"
53,RT @DevprakashIRS: #COVID 19 के चक्कर में शादी में जब 50 व्यक्तियों की ही परमिशन मिल रही है तो दोस्तों के साथ #रायता खींचने का दृश्य देखने…
54,"RT @Amitjanhit: उत्तर प्रदेश,
गुजरात
मध्य प्रदेश जैसे बीजेपी शासित राज्यों में बीजेपी #corona से लड़ने में पूरी तरह विफल रही और अब 

@Arvin…"
55,"RT @CMOfficeUP: #COVID-19 जैसी वैश्विक महामारी के बावजूद समय पर परीक्षा व लॉकडाउन के बावजूद समय से परिणाम देने के लिए, मैं माध्यमिक शिक्षा…"
56,RT @ShubhamkuRai: @AKTU_Lucknow @AICTE_INDIA @iet_lucknow @Vineetkansal2 @HRDMinistry @CASaktu sir ek taraf #aktu to online meeting kr raha…
57,"RT @PeepingMoon: तीन महीने बाद #KasautiiZindagiiKay2 की शूटिंग हुई री-स्टार्ट,  #Corona के साये के बीच #ParthSamthaan ने की सेट पर वापसी

@…"
58,"ab toh locusts bhi aa gaye,tum kab aaoogey!!

#COVID"
59,RT @DuraRamBishnoi: #Covid-19 के खिलाफ लड़ाई में मे एक मोबाइल सैम्पल कलेक्शन वेन तैयार करवा कर स्वास्थ्य विभाग को सौंपी। हमारे इस प्रयास से…
60,"RT @PeepingMoon: तीन महीने बाद #KasautiiZindagiiKay2 की शूटिंग हुई री-स्टार्ट,  #Corona के साये के बीच #ParthSamthaan ने की सेट पर वापसी

@…"
61,"RT @CMOfficeUP: #COVID-19 जैसी वैश्विक महामारी के बावजूद समय पर परीक्षा व लॉकडाउन के बावजूद समय से परिणाम देने के लिए, मैं माध्यमिक शिक्षा…"
62,"RT @PeepingMoon: तीन महीने बाद #KasautiiZindagiiKay2 की शूटिंग हुई री-स्टार्ट,  #Corona के साये के बीच #ParthSamthaan ने की सेट पर वापसी

@…"
63,RT @hemantrajora_: बड़ी खबर : Hindu Rao के डॉक्टर हड़ताल पर जाने की तैयारी में। HRH आज से कोविड अस्पताल के रूप में शुरू हो रहा है।  डॉक्टर…
64,RT @PanditDevendr19: नफरती मीडिया-वायरस ने इस देश को इस तरह बांट दिया है कि अब हमारे महापुरुष और संत भी जाति-धर्म के हो गए हैं..? क्या अजमे…
65,"RT @CMOfficeUP: #COVID-19 जैसी वैश्विक महामारी के बावजूद समय पर परीक्षा व लॉकडाउन के बावजूद समय से परिणाम देने के लिए, मैं माध्यमिक शिक्षा…"
66,RT @hemantrajora_: बड़ी खबर : Hindu Rao के डॉक्टर हड़ताल पर जाने की तैयारी में। HRH आज से कोविड अस्पताल के रूप में शुरू हो रहा है।  डॉक्टर…
67,"RT @CMOfficeUP: #COVID-19 जैसी वैश्विक महामारी के बावजूद समय पर परीक्षा व लॉकडाउन के बावजूद समय से परिणाम देने के लिए, मैं माध्यमिक शिक्षा…"
68,Aur bhi gam hai zamaane mein #Covid ke seva 😢 https://t.co/UcVgfYeA2I
69,RT @DevprakashIRS: #COVID 19 के चक्कर में शादी में जब 50 व्यक्तियों की ही परमिशन मिल रही है तो दोस्तों के साथ #रायता खींचने का दृश्य देखने…
70,"RT @CMOfficeUP: #COVID-19 जैसी वैश्विक महामारी के बावजूद समय पर परीक्षा व लॉकडाउन के बावजूद समय से परिणाम देने के लिए, मैं माध्यमिक शिक्षा…"
71,"RT @PeepingMoon: तीन महीने बाद #KasautiiZindagiiKay2 की शूटिंग हुई री-स्टार्ट,  #Corona के साये के बीच #ParthSamthaan ने की सेट पर वापसी

@…"
72,"RT @PeepingMoon: तीन महीने बाद #KasautiiZindagiiKay2 की शूटिंग हुई री-स्टार्ट,  #Corona के साये के बीच #ParthSamthaan ने की सेट पर वापसी

@…"
