tweet_id,retweet_count,favourite_count,length_before,length_after,length_ratio,number_of_upper_chars,has_question_marks,number_of_question_marks,has_exclamation_marks,number_of_exclamation_marks,chars_in_desc,chars_in_real_name,chars_in_user_handle,num_matches,total_urls_in_desc,official_url_exists,followers_count,friends_count,listed_count,favourites_count,geo_enabled,acc_life,verified,num_tweets,protected,posting_frequency,activity,avg_likes_per_tweet,follower_friends_ratio,label
1277229173568765957,114,0,140,119,0.85,10,0,0,0,0,103,12,15,3,0,0,2683,2846,1,101234,1,662,0,82314,0,124.34138972809667,0,1.2298515440872755,0.9427266338721012,0
1277229137325940737,1760,0,140,122,0.8714285714285714,22,0,0,0,0,48,21,15,3,0,0,10,19,0,708,0,907,0,739,0,0.814773980154355,42,0.9580514208389715,0.5263157894736842,1
1277229120217202688,40,0,140,119,0.85,8,0,0,0,0,0,10,15,3,0,0,10,82,0,106,0,1970,0,679,0,0.3446700507614213,2,0.1561119293078056,0.12195121951219512,1
1277228974154776576,0,0,127,78,0.6141732283464567,15,0,0,0,0,48,5,12,2,0,1,221,293,0,626,0,530,0,1152,0,2.1735849056603773,1,0.5434027777777778,0.7542662116040956,1
1277228942265446400,1,1,129,80,0.6201550387596899,12,0,0,0,0,48,5,12,2,0,1,221,293,0,626,0,530,0,1152,0,2.1735849056603773,1,0.5434027777777778,0.7542662116040956,1
1277228803366875142,1,1,131,82,0.6259541984732825,12,0,0,0,0,48,5,12,2,0,1,221,293,0,626,0,530,0,1152,0,2.1735849056603773,1,0.5434027777777778,0.7542662116040956,1
1277228793925492742,123,0,139,93,0.6690647482014388,19,1,2,0,0,115,15,9,1,0,0,1409,2770,0,20996,0,1568,0,33961,0,21.658801020408163,0,0.6182385677689114,0.5086642599277978,0
1277228697645285376,0,1,173,160,0.9248554913294798,2,1,2,0,0,0,12,15,3,0,0,280,655,0,14284,0,197,0,2347,0,11.913705583756345,0,6.086067319982957,0.42748091603053434,0
1277228672999583749,63,0,140,112,0.8,5,0,0,0,0,18,14,10,1,0,0,2292,2109,0,104431,1,1066,0,68898,0,64.63227016885554,1,1.5157334030015386,1.0867709815078237,0
1277228655660285952,615,0,138,117,0.8478260869565217,5,0,0,0,0,6,8,10,2,0,0,314,1082,7,7594,0,91,0,8091,0,88.91208791208791,10,0.9385737238907428,0.2902033271719039,1
1277228568557219841,14,35,303,214,0.7062706270627063,12,0,0,0,0,144,7,7,2,0,1,317,48,0,433,0,359,0,252,0,0.7019498607242339,1,1.7182539682539681,6.604166666666667,0
1277228529093013509,41,0,140,119,0.85,9,0,0,0,0,0,14,15,2,0,0,40,39,0,1152,0,44,0,1923,0,43.70454545454545,22,0.5990639625585024,1.0256410256410255,1
1277228476794273794,20,0,139,118,0.8489208633093526,3,0,0,1,1,20,13,15,2,0,0,17,44,0,223,0,100,0,688,0,6.88,23,0.3241279069767442,0.38636363636363635,0
1277228349706797058,1760,0,140,122,0.8714285714285714,22,0,0,0,0,53,12,15,3,0,0,199,423,0,63575,0,1722,0,13530,0,7.857142857142857,1,4.698817442719882,0.47044917257683216,0
1277228323962150912,3,0,236,233,0.9872881355932204,9,0,0,0,0,139,25,11,2,0,0,1187,3962,1,84907,1,1102,0,73510,0,66.7059891107078,0,1.1550401305944769,0.29959616355376073,0
1277228287425744896,2,23,182,137,0.7527472527472527,11,1,1,0,0,149,15,14,3,0,1,121552,78,95,2,0,697,0,79199,0,113.62840746054519,0,2.5252844101566938e-05,1558.3589743589744,1
1277228111969517570,6,0,140,105,0.75,9,0,0,0,0,0,15,15,2,0,0,13,43,0,173,0,95,0,181,0,1.9052631578947368,2,0.9558011049723757,0.3023255813953488,0
1277228067191001089,11,0,137,118,0.8613138686131386,2,0,0,0,0,12,12,15,1,0,0,469,619,0,45784,0,214,0,21310,0,99.57943925233644,1,2.1484748944157674,0.7576736672051696,0
1277228059410796546,17,0,140,102,0.7285714285714285,6,0,0,0,0,80,10,13,3,0,1,141,17,0,12269,0,1180,0,12643,0,10.714406779661017,0,0.9704184133512616,8.294117647058824,1
1277228017387855872,146,0,140,105,0.75,3,0,0,0,0,117,6,8,2,0,0,354,175,23,5863,0,3840,0,96362,0,25.094270833333333,0,0.060843486021460745,2.0228571428571427,1
1277227748675604482,48,0,140,120,0.8571428571428571,7,0,0,0,0,10,19,15,2,0,0,107,55,0,10143,1,461,0,11654,0,25.27982646420824,0,0.8703449459413077,1.9454545454545455,1
1277227674931470338,1,0,140,117,0.8357142857142857,5,0,0,0,0,0,6,14,2,0,0,418,0,6,0,1,1281,0,83843,0,65.4512099921936,0,0.0,9999999.0,1
1277227634649296901,3,0,137,113,0.8248175182481752,11,0,0,0,0,31,12,13,2,0,0,5,61,0,85,0,317,0,128,0,0.4037854889589905,1,0.6640625,0.08196721311475409,1
1277227600054611970,464,0,140,123,0.8785714285714286,2,0,0,0,0,155,14,14,3,0,0,424,1073,0,16315,0,2905,0,5026,0,1.730120481927711,1,3.2461201750895343,0.3951537744641193,1
1277227500817592327,229,0,139,118,0.8489208633093526,3,1,1,0,0,127,11,14,3,0,0,121,124,0,17992,0,390,0,8117,0,20.81282051282051,0,2.2165824812122707,0.9758064516129032,1
1277227362694729732,278,0,134,95,0.7089552238805971,6,0,0,0,0,35,14,15,2,0,0,28,142,0,7410,0,154,0,4244,0,27.558441558441558,1,1.7459943449575872,0.19718309859154928,1
1277227281249792001,138,0,138,117,0.8478260869565217,7,0,0,0,0,156,14,14,1,0,0,199,101,0,849,1,187,0,3709,0,19.834224598930483,1,0.2289026691830682,1.9702970297029703,1
1277227244956430337,650,0,111,70,0.6306306306306306,8,0,0,0,0,5,14,13,3,0,0,47,114,0,1992,0,1592,0,2599,0,1.6325376884422111,2,0.7664486340900346,0.41228070175438597,1
1277227184264900609,0,0,181,170,0.9392265193370166,3,0,0,0,0,114,16,10,2,0,1,676,147,4,975,0,2905,0,4439,0,1.5280550774526678,1,0.2196440639783735,4.598639455782313,1
1277227135648911360,21,0,133,97,0.7293233082706767,6,0,0,0,0,39,11,15,3,0,0,246,267,0,10493,1,126,0,3515,0,27.896825396825395,0,2.9852062588904693,0.9213483146067416,1
1277467229353676800,0,0,185,168,0.9081081081081082,13,0,0,0,0,37,13,12,3,0,0,573,1846,0,403,0,565,0,492,0,0.8707964601769912,0,0.8191056910569106,0.3104008667388949,0
1277467210093494272,15,0,140,105,0.75,9,0,0,0,0,0,22,13,3,0,0,33,106,0,1371,0,569,0,2158,0,3.7926186291739894,6,0.6353104726598703,0.3113207547169811,0
1277467157358448640,17,0,140,70,0.5,15,0,0,0,0,80,23,8,3,0,1,1899,738,392,50464,1,3545,0,59423,0,16.762482369534556,0,0.8492334617908891,2.573170731707317,1
1277467137192325121,0,0,278,230,0.8273381294964028,32,0,0,0,0,17,12,13,3,0,0,2404,224,2,44141,1,2601,0,13481,0,5.183006535947713,0,3.27431199465915,10.732142857142858,1
1277467073849864194,3,0,140,113,0.8071428571428572,16,0,0,0,0,156,10,15,2,0,1,15446,89,151,3517,1,2418,1,149733,0,61.924317617866,0,0.02348847615422118,173.5505617977528,1
1277467031567167488,5,0,140,125,0.8928571428571429,2,0,0,0,0,62,17,8,2,0,0,339,569,2,9295,1,3509,0,1421,0,0.4049586776859504,22,6.541168191414497,0.5957820738137083,0
1277466995403845632,377,0,138,101,0.7318840579710145,4,0,0,0,0,131,10,12,1,0,0,782,1118,2,34943,0,2442,0,27625,0,11.312448812448812,0,1.2649049773755656,0.6994633273703041,0
